,fund_id,fund_num,fund_name,fund_onevalue,fund_time,fund_1year,fund_2year,fund_3year,fund_5year,fund_star,fund_fee
567,568,630107,华商稳健双利债券B,1.4510,07-25,6.43%,4.44%,5.04%,19.74%,2,0.00%
568,569,160638,鹏华一带一路分级,0.8460,07-25,6.42%,6.96%,--,--,0,0.12%
569,570,001827,富国研究优选沪港深混合,1.1910,07-25,6.42%,--,--,--,0,0.15%
570,571,519969,长信新利灵活配置混合,1.1530,07-25,6.41%,3.33%,--,--,0,0.15%
571,572,100022,富国天瑞强势,0.5575,07-25,6.40%,14.47%,22.74%,48.03%,4,0.15%
572,573,420001,天弘精选,0.7057,07-25,6.39%,4.04%,7.28%,20.87%,2,0.15%
573,574,001574,中海混改红利混合,0.8920,07-25,6.37%,--,--,--,0,0.15%
574,575,000936,博时产业新动力混合,1.2870,07-25,6.37%,11.06%,--,--,0,0.15%
575,576,002156,长盛盛世混合A,1.1270,07-25,6.34%,--,--,--,0,0.15%
576,577,090011,大成核心双动力混合,1.0720,07-25,6.33%,12.70%,23.35%,55.03%,3,0.15%
577,578,000507,泰达宏利养老混合A,1.1230,07-25,6.33%,9.10%,13.85%,--,0,0.12%
578,579,001985,富国低碳新经济混合,1.1780,07-25,6.32%,--,--,--,0,0.15%
579,580,001491,国泰生益灵活配置混合A,1.1693,07-25,6.30%,11.52%,--,--,0,0.15%
580,581,002142,博时外延增长主题灵活配置混合,1.2120,07-25,6.27%,--,--,--,0,0.15%
581,582,160627,鹏华策略优选混合,1.5140,07-25,6.26%,10.50%,13.10%,--,0,0.15%
582,583,519185,万家精选混合,1.7030,07-25,6.24%,18.61%,41.95%,79.63%,4,0.15%
583,584,160607,鹏华价值优势混合(LOF),0.7260,07-25,6.24%,11.14%,17.17%,44.62%,5,0.15%
584,585,000878,中海医药健康产业混合A,1.2180,07-25,6.20%,8.53%,--,--,0,0.15%
585,586,165806,东吴深证100增强,1.2130,07-25,6.20%,6.58%,8.07%,21.92%,0,0.12%
586,587,000587,大成灵活配置混合,1.7460,07-25,6.19%,11.65%,23.59%,--,0,0.15%
587,588,660014,农银深证100增强,1.3540,07-25,6.18%,6.59%,5.25%,--,0,0.15%
588,589,002561,东吴安鑫量化,1.0690,07-25,6.16%,--,--,--,0,0.15%
589,590,400007,东方策略成长混合,2.7511,07-25,6.15%,9.27%,18.35%,54.17%,4,0.15%
590,591,001070,建信信息产业股票,1.2190,07-25,6.14%,9.79%,--,--,0,0.15%
591,592,673020,西部利得成长精选混合,1.0100,07-25,6.14%,3.77%,--,--,0,0.00%
592,593,166001,中欧新趋势混合(LOF)A,1.1186,07-25,6.14%,12.51%,27.22%,66.90%,4,0.15%
593,594,530011,建信内生动力混合,1.3790,07-25,6.14%,8.55%,13.20%,36.01%,2,0.15%
594,595,100053,富国上证综指联接,1.2550,07-25,6.13%,7.49%,9.67%,30.97%,0,0.15%
595,596,080001,长盛成长价值,1.1220,07-25,6.11%,9.91%,19.69%,57.24%,3,0.15%
596,597,002148,国寿安保稳健增利混合,1.0330,07-25,6.09%,--,--,--,0,0.10%
597,598,000065,国富焦点驱动混合,1.4180,07-25,6.06%,9.10%,16.28%,--,5,0.15%
598,599,000508,泰达宏利养老混合B,1.0970,07-25,6.05%,8.52%,12.80%,--,0,0.00%
599,600,002450,平安大华睿享文娱混合A,1.0270,07-25,6.03%,--,--,--,0,0.15%
600,601,001263,大成景穗灵活配置混合A,1.0980,07-25,6.02%,6.63%,--,--,0,0.15%
601,602,002229,华夏经济转型股票,1.1790,07-25,6.01%,--,--,--,0,0.15%
602,603,002767,泰康宏泰回报混合,1.0905,07-25,5.99%,--,--,--,0,0.10%
603,604,240005,华宝多策略增长,0.5955,07-25,5.95%,10.74%,14.84%,35.26%,2,0.15%
604,605,000536,前海开源可转债债券,0.8190,07-25,5.92%,4.23%,-1.06%,--,0,0.08%
605,606,398031,中海蓝筹灵活,0.7482,07-25,5.91%,-1.97%,-6.50%,13.05%,1,0.15%
606,607,398001,中海优质成长混合,0.4367,07-25,5.91%,4.88%,3.42%,19.15%,1,0.12%
607,608,001141,泰达宏利创盈混合A,1.1560,07-25,5.90%,8.20%,--,--,0,0.10%
608,609,162415,华宝标普美国消费人民币,1.1850,07-24,5.87%,--,--,--,0,0.12%
609,610,100020,富国天益价值混合,1.3153,07-25,5.86%,8.71%,13.12%,36.33%,3,0.15%
610,611,164811,工银深证100指数分级,1.2844,07-25,5.85%,7.43%,10.22%,--,0,0.12%
611,612,000214,广发成长优选混合,1.4380,07-25,5.83%,7.24%,12.09%,--,3,0.15%
612,613,080007,长盛同鑫行业配置混合,0.9900,07-25,5.82%,-3.82%,-11.06%,-8.19%,0,0.12%
613,614,002168,嘉实智能汽车股票,1.3180,07-25,5.82%,--,--,--,0,0.15%
614,615,000590,华安新活力混合,1.3720,07-25,5.78%,7.80%,12.97%,--,0,0.15%
615,616,450003,国富潜力组合混合A,1.1060,07-25,5.78%,6.31%,10.54%,31.98%,2,0.15%
616,617,519025,海富通领先成长混合,1.2770,07-25,5.76%,7.21%,5.33%,20.12%,2,0.15%
617,618,000512,国泰结构转型灵活配置混合A,1.8200,07-25,5.76%,10.37%,21.92%,--,0,0.08%
618,619,002451,平安大华睿享文娱混合C,1.0140,07-25,5.73%,--,--,--,0,0.00%
619,620,161213,国投瑞银消费服务指数,1.4410,07-25,5.72%,9.15%,13.63%,36.86%,0,0.12%
620,621,070003,嘉实稳健,1.1650,07-25,5.71%,7.23%,12.37%,29.53%,3,0.15%
621,622,000215,广发趋势优选灵活配置,1.5300,07-25,5.71%,9.95%,19.22%,--,5,0.15%
622,623,096001,大成标普500,1.6810,07-24,5.70%,15.41%,19.22%,35.44%,0,0.15%
623,624,160806,长盛同庆中证800(LOF),1.3430,07-25,5.69%,7.21%,9.86%,28.06%,0,0.12%
624,625,519017,大成积极成长混合,1.1290,07-25,5.64%,10.96%,26.46%,64.68%,4,0.15%
625,626,519977,长信可转债债券A,1.2756,07-25,5.63%,3.27%,16.73%,61.04%,3,0.08%
626,627,000879,中海医药健康产业混合C,1.1860,07-25,5.62%,7.46%,--,--,0,0.00%
627,628,320006,诺安灵活配置,2.3280,07-25,5.62%,12.02%,24.30%,67.92%,5,0.18%
628,629,519008,汇添富优势精选,2.5269,07-25,5.62%,6.08%,13.70%,44.06%,3,0.15%
629,630,519034,海富通中证内地低碳指数,1.5370,07-25,5.62%,5.95%,4.34%,21.24%,0,0.12%
630,631,620001,金元顺安宝石动力混合,1.0707,07-25,5.59%,2.63%,1.92%,13.40%,2,0.15%
631,632,001670,长城新策略混合A,1.0450,07-25,5.59%,--,--,--,0,0.15%
632,633,001125,博时互联网主题灵活配置混合,0.6940,07-25,5.57%,4.19%,--,--,0,0.15%
633,634,310368,申万菱信竞争优势混合,1.5662,07-25,5.56%,5.79%,6.62%,24.78%,3,0.15%
634,635,519991,长信双利优选,1.3230,07-25,5.55%,3.82%,5.10%,32.07%,3,0.15%
635,636,002360,前海开源清洁能源混合C,1.0860,07-25,5.53%,--,--,--,0,0.15%
636,637,502016,长信中证一带一路主题指数分级,1.0960,07-25,5.53%,--,--,--,0,0.12%
637,638,001278,前海开源清洁能源混合A,1.0810,07-25,5.53%,13.32%,--,--,0,0.15%
638,639,001924,华夏国企改革混合,0.9520,07-25,5.52%,--,--,--,0,0.15%
639,640,001459,广发中证全指原材料联接A,1.1133,07-25,5.50%,--,--,--,0,0.12%
640,641,000173,汇添富美丽30混合,2.0410,07-25,5.48%,3.96%,9.26%,--,5,0.15%
641,642,163402,兴全趋势投资混合(LOF),1.0530,07-25,5.48%,9.70%,22.94%,61.35%,5,0.15%
642,643,001753,红土创新新兴产业混合,0.9170,07-25,5.47%,--,--,--,0,0.15%
643,644,002124,广发新兴产业混合,1.2060,07-25,5.45%,--,--,--,0,0.15%
644,645,288002,华夏收入混合,4.8090,07-25,5.43%,10.27%,19.70%,52.73%,5,0.15%
645,646,100060,富国高新技术产业混合,1.7270,07-25,5.41%,3.73%,13.18%,41.56%,2,0.15%
646,647,161818,银华消费分级混合,1.1660,07-25,5.40%,-1.30%,-6.86%,2.07%,2,0.15%
647,648,519976,长信可转债债券C,1.2543,07-25,5.40%,2.80%,15.33%,56.84%,3,0.00%
648,649,519755,交银多策略回报灵活配置混合A,1.1190,07-25,5.37%,8.21%,--,--,0,0.15%
649,650,001333,大成景鹏灵活配置混合A,1.1670,07-25,5.34%,9.33%,--,--,0,0.15%
650,651,001355,广发聚泰混合A,1.2650,07-25,5.33%,6.87%,--,--,0,0.12%
651,652,166002,中欧新蓝筹混合A,1.3120,07-25,5.32%,10.35%,23.65%,60.87%,4,0.15%
652,653,000865,大成景利混合,1.2920,07-25,5.31%,11.52%,--,--,0,0.10%
653,654,002975,广发中证全指原材料联接C,1.1110,07-25,5.31%,--,--,--,0,0.00%
654,655,001254,泰达宏利新起点混合A,1.1260,07-25,5.29%,7.39%,--,--,0,0.15%
655,656,000595,嘉实泰和混合,2.0240,07-25,5.29%,8.19%,21.49%,--,0,0.15%
656,657,163116,申万菱信申万电子分级,1.0718,07-25,5.28%,6.32%,--,--,0,0.05%
657,658,001215,博时沪港深优质企业基金A,0.7770,07-25,5.25%,5.70%,--,--,0,0.15%
658,659,001103,前海开源工业革命4.0混合,1.0840,07-25,5.24%,9.14%,--,--,0,0.15%
659,660,001144,大成互联网思维混合,0.8020,07-25,5.21%,7.04%,--,--,0,0.12%
660,661,001270,英大灵活配置混合型发起式A,1.0690,07-25,5.20%,7.31%,--,--,0,0.10%
661,662,090015,大成内需增长混合,2.4240,07-25,5.19%,8.68%,22.01%,68.15%,3,0.15%
662,663,450007,国富成长动力混合,1.3668,07-25,5.16%,1.60%,2.74%,23.41%,3,0.15%
663,664,000978,景顺长城量化精选股票,1.4300,07-25,5.15%,13.58%,--,--,0,0.15%
664,665,160918,大成中小盘混合(LOF),1.8600,07-25,5.13%,3.66%,21.12%,--,0,0.15%
665,666,000778,鹏华先进制造股票,1.5580,07-25,5.12%,12.68%,--,--,0,0.15%
666,667,001373,易方达新丝路灵活配置混合,0.7430,07-25,5.11%,5.08%,--,--,0,0.15%
667,668,001671,长城新策略混合C,1.1150,07-25,5.11%,--,--,--,0,0.15%
668,669,002307,银华多元视野灵活配置混合,1.1200,07-25,5.09%,--,--,--,0,0.15%
669,670,001535,景顺长城改革机遇灵活配置混合,1.0830,07-25,5.09%,--,--,--,0,0.15%
670,671,270022,广发内需增长,0.9200,07-25,5.08%,9.05%,13.80%,20.60%,4,0.15%
671,672,240017,华宝新兴产业混合,2.2476,07-25,5.08%,3.13%,6.30%,40.92%,2,0.15%
672,673,080008,长盛战略新兴产业混合A,1.9750,07-25,5.08%,7.15%,20.40%,53.70%,0,0.15%
673,674,001943,前海开源沪港深汇鑫混合C,1.1500,07-25,5.04%,--,--,--,0,0.00%
674,675,002562,泓德泓益量化混合,1.1550,07-25,5.02%,--,--,--,0,0.15%
675,676,519909,华安安顺混合,1.5010,07-25,5.01%,9.65%,10.79%,--,0,0.15%
676,677,519738,交银周期回报灵活配置混合A,1.1950,07-25,4.97%,7.52%,14.25%,--,0,0.15%
677,678,002190,农银新能源主题,1.0489,07-25,4.95%,--,--,--,0,0.15%
678,679,002098,国富新价值混合C,1.0923,07-25,4.94%,--,--,--,0,0.00%
679,680,001664,平安大华鑫安混合A,1.0600,07-25,4.93%,--,--,--,0,0.12%
680,681,001271,英大灵活配置混合型发起式B,1.0583,07-25,4.91%,6.76%,--,--,0,0.00%
681,682,350009,天治研究驱动混合A,1.1870,07-25,4.90%,7.79%,9.05%,15.66%,0,0.08%
682,683,519981,长信美国标普100,1.1860,07-24,4.90%,12.18%,14.94%,27.41%,0,0.14%
683,684,000656,前海开源沪深300指数,1.1600,07-25,4.90%,8.20%,8.54%,--,0,0.12%
684,685,002097,国富新价值混合A,1.1006,07-25,4.89%,--,--,--,0,0.10%
685,686,000526,国泰浓益灵活配置混合A,1.3700,07-25,4.89%,6.69%,11.86%,--,0,0.08%
686,687,001242,博时中证淘金大数据100A,0.9200,07-25,4.88%,15.81%,--,--,0,0.12%
687,688,519133,海富通改革驱动混合,1.1640,07-25,4.87%,--,--,--,0,0.15%
688,689,001942,前海开源沪港深汇鑫混合A,1.1550,07-25,4.87%,--,--,--,0,0.15%
689,690,050007,博时平衡配置,0.9250,07-25,4.86%,2.74%,-0.55%,4.86%,1,0.15%
690,691,002058,中银新机遇混合C,1.0400,07-25,4.85%,--,--,--,0,0.00%
691,692,161721,招商沪深300地产指数分级,0.7740,07-25,4.85%,7.63%,--,--,0,0.10%
692,693,001458,广发中证全指主要消费联接A,1.1703,07-25,4.85%,--,--,--,0,0.12%
693,694,002057,中银新机遇混合A,1.0420,07-25,4.85%,--,--,--,0,0.10%
694,695,000057,中银消费主题混合,1.4130,07-25,4.85%,-0.46%,0.24%,--,3,0.15%
695,696,163810,中银价值精选,1.5020,07-25,4.85%,3.97%,7.27%,34.62%,3,0.15%
696,697,460007,华泰柏瑞行业领先混合,1.3260,07-25,4.84%,3.77%,7.00%,35.13%,2,0.15%
697,698,000572,中银多策略混合,1.3520,07-25,4.83%,6.89%,13.06%,--,0,0.15%
698,699,519162,新华信用增益债券A,1.1370,07-25,4.79%,7.89%,10.47%,--,2,0.08%
699,700,370023,上投中证消费指数,1.3750,07-25,4.78%,6.46%,9.09%,--,0,0.12%
700,701,519056,海富通内需热点混合,1.0090,07-25,4.77%,-2.53%,-8.79%,--,2,0.15%
701,702,002976,广发中证全指主要消费联接C,1.1691,07-25,4.76%,--,--,--,0,0.00%
702,703,000314,招商瑞丰灵活配置混合发起式A,1.3590,07-25,4.75%,7.42%,13.14%,--,5,0.15%
703,704,001265,国泰兴益灵活配置混合A,1.1180,07-25,4.75%,7.32%,--,--,0,0.15%
704,705,519177,浦银安盛盛世精选混合C,1.1760,07-25,4.75%,--,--,--,0,0.15%
705,706,000190,中银新回报灵活配置混合,1.2720,07-25,4.74%,7.00%,14.02%,--,0,0.12%
706,707,167503,安信一带一路分级,0.8060,07-25,4.73%,4.04%,--,--,0,0.05%
707,708,002621,中欧消费主题股票A,1.0610,07-25,4.72%,--,--,--,0,0.15%
708,709,001466,华富永鑫灵活配置混合A,1.1230,07-25,4.71%,7.47%,--,--,0,0.15%
709,710,255010,国联安稳健,1.0910,07-25,4.71%,10.67%,21.77%,55.70%,3,0.15%
710,711,257040,国联安红利混合,1.1830,07-25,4.70%,4.46%,16.58%,53.53%,2,0.15%
711,712,519163,新华信用增益债券C,1.1730,07-25,4.69%,9.51%,12.92%,--,2,0.00%
712,713,001665,平安大华鑫安混合C,1.0540,07-25,4.69%,--,--,--,0,0.00%
713,714,001039,嘉实先进制造股票,0.8580,07-25,4.69%,9.51%,--,--,0,0.15%
714,715,519752,交银新回报灵活配置混合A,1.0860,07-25,4.68%,6.49%,--,--,0,0.15%
715,716,378010,上投摩根成长先锋混合,1.1168,07-25,4.68%,-1.14%,-8.16%,-8.92%,1,0.15%
716,717,160225,国泰国证新能源汽车指数,1.0491,07-25,4.65%,--,--,--,0,0.12%
717,718,162414,华宝新机遇混合(LOF)A,1.1278,07-25,4.64%,7.70%,--,--,0,0.15%
718,719,001467,华富永鑫灵活配置混合C,1.1010,07-25,4.62%,7.15%,--,--,0,0.00%
719,720,001418,泰达宏利创益混合A,1.1040,07-25,4.62%,6.85%,--,--,0,0.10%
720,721,001247,华泰柏瑞新利混合A,1.1026,07-25,4.62%,6.44%,--,--,0,0.15%
721,722,000121,华夏永福养老理财混合A,1.5730,07-25,4.61%,7.10%,14.49%,--,5,0.08%
722,723,002262,中银宝利混合C,1.0260,07-25,4.60%,--,--,--,0,0.00%
723,724,002261,中银宝利混合A,1.0270,07-25,4.58%,--,--,--,0,0.10%
724,725,165525,信诚中证基建工程指数LOF,1.2190,07-25,4.57%,--,--,--,0,0.10%
725,726,000828,泰达转型机遇,0.8980,07-25,4.55%,4.75%,--,--,0,0.12%
726,727,750001,安信灵活配置混合,1.0880,07-25,4.54%,2.97%,6.35%,27.99%,4,0.15%
727,728,002092,国富新增长混合A,1.0492,07-25,4.53%,--,--,--,0,0.10%
728,729,002692,富国创新科技混合,0.9440,07-25,4.52%,--,--,--,0,0.15%
729,730,002090,长盛盛鑫混合C,1.1310,07-25,4.49%,--,--,--,0,0.15%
730,731,630016,华商价值共享混合,1.9280,07-25,4.49%,8.87%,13.42%,--,4,0.15%
731,732,001419,泰达宏利新思路混合A,1.0670,07-25,4.48%,6.81%,--,--,0,0.15%
732,733,070020,嘉实稳固债券,1.0910,07-25,4.47%,5.48%,9.97%,19.73%,4,0.00%
733,734,001348,大摩新机遇混合,1.1080,07-25,4.46%,7.11%,--,--,0,0.12%
734,735,001389,中融新优势混合A,1.1220,07-25,4.45%,--,--,--,0,0.15%
735,736,202101,南方宝元债券,1.9608,07-25,4.44%,8.25%,15.73%,35.65%,4,0.08%
736,737,001356,广发聚泰混合C,1.0720,07-25,4.43%,5.88%,--,--,0,0.00%
737,738,002697,中欧消费主题股票C,1.0650,07-25,4.42%,--,--,--,0,0.00%
738,739,217012,招商行业领先混合A,1.2380,07-25,4.42%,2.40%,7.33%,31.91%,3,0.15%
739,740,001524,华泰柏瑞精选回报混合,1.0681,07-25,4.42%,--,--,--,0,0.15%
740,741,257030,国联安优势混合,1.3530,07-25,4.41%,10.78%,19.41%,45.78%,3,0.15%
741,742,000363,国泰聚信价值优势灵活配置C,1.2220,07-25,4.40%,15.79%,34.35%,--,5,0.00%
742,743,519688,交银精选混合,0.5826,07-25,4.38%,12.53%,24.61%,46.54%,3,0.15%
743,744,002093,国富新增长混合C,1.0413,07-25,4.34%,--,--,--,0,0.00%
744,745,519021,国泰金鼎价值,0.5410,07-25,4.34%,5.09%,10.88%,34.58%,3,0.15%
745,746,000594,大摩进取优选股票,1.6200,07-25,4.33%,3.98%,8.52%,--,0,0.15%
746,747,202212,南方平衡配置混合,1.4961,07-25,4.33%,9.57%,17.48%,32.31%,0,0.15%
747,748,001384,东方新思路混合A,0.8590,07-25,4.33%,6.00%,--,--,0,0.08%
748,749,001430,中邮乐享收益灵活配置混合,1.1470,07-25,4.32%,7.55%,--,--,0,0.15%
749,750,001476,中银智能制造股票,0.7820,07-25,4.31%,-1.10%,--,--,0,0.15%
750,751,160314,华夏行业混合(LOF),1.0690,07-25,4.31%,4.61%,10.49%,39.83%,3,0.60%
751,752,000308,建信创新中国混合,2.3660,07-25,4.26%,13.35%,33.13%,--,4,0.15%
752,753,206005,鹏华上证民企50ETF联接,1.4230,07-25,4.26%,4.81%,7.45%,27.54%,0,0.12%
753,754,519764,交银卓越回报灵活配置混合A,1.0570,07-25,4.25%,--,--,--,0,0.08%
754,755,002110,中海中鑫灵活配置混合,1.0690,07-25,4.23%,--,--,--,0,0.08%
755,756,002157,长盛盛世混合C,1.0720,07-25,4.22%,--,--,--,0,0.15%
756,757,001412,德邦鑫星价值灵活配置混合A,1.0858,07-25,4.20%,7.12%,--,--,0,0.15%
757,758,165516,信诚周期轮动混合(LOF),2.4730,07-25,4.18%,6.19%,16.39%,57.93%,3,0.15%
758,759,001316,安信稳健增值混合A,1.1475,07-25,4.17%,7.51%,--,--,0,0.10%
759,760,002765,新华双利债券A,1.0580,07-25,4.17%,--,--,--,0,0.08%
760,761,002461,中银珍利混合A,1.0310,07-25,4.15%,--,--,--,0,0.10%
761,762,001156,申万菱信新能源汽车混合,0.9540,07-25,4.14%,2.33%,--,--,0,0.15%
762,763,519156,新华行业灵活配置混合A,1.4970,07-25,4.14%,12.00%,51.23%,--,5,0.15%
763,764,001007,国联安鑫安灵活配置混合,1.1282,07-25,4.14%,6.69%,--,--,0,0.07%
764,765,000367,国泰安康养老定期支付混合A,1.3520,07-25,4.14%,7.17%,12.33%,--,0,0.08%
765,766,161118,易方达中小指数分级,1.0581,07-25,4.14%,2.37%,1.09%,--,0,0.12%
766,767,002376,国寿安保核心产业混合,1.0830,07-25,4.13%,--,--,--,0,0.15%
767,768,539003,建信全球资源混合(QDII),0.8230,07-25,4.13%,10.42%,1.19%,-6.69%,0,0.16%
768,769,070019,嘉实价值优势混合,1.2900,07-25,4.12%,5.41%,8.12%,27.68%,2,0.15%
769,770,002462,中银珍利混合C,1.0300,07-25,4.12%,--,--,--,0,0.00%
770,771,519026,海富通中小盘混合,0.9140,07-25,4.12%,-2.71%,-9.92%,-9.18%,1,0.15%
771,772,050018,博时行业轮动混合,1.1060,07-25,4.11%,12.22%,14.56%,26.68%,2,0.15%
772,773,100051,富国可转换债券,1.5230,07-25,4.11%,1.31%,8.71%,35.56%,3,0.08%
773,774,002361,国富恒瑞债券A,1.1110,07-25,4.11%,--,--,--,0,0.08%
774,775,001714,工银文体产业股票,1.2470,07-25,4.11%,--,--,--,0,0.15%
775,776,001385,东方新思路混合C,0.8517,07-25,4.10%,5.57%,--,--,0,0.00%
776,777,002421,新华信用增强A,1.0980,07-25,4.09%,--,--,--,0,0.08%
777,778,206006,鹏华环球发现,1.0260,07-24,4.08%,6.52%,2.48%,5.45%,0,0.15%
778,779,263001,景顺长城上证180联接,1.5170,07-25,4.08%,4.41%,6.51%,25.86%,0,0.12%
779,780,000845,国投瑞银信息消费混合,1.3460,07-25,4.06%,11.67%,--,--,0,0.15%
780,781,162202,泰达宏利周期混合,1.3867,07-25,4.06%,8.39%,12.58%,31.30%,0,0.15%
781,782,000286,银华信用季季红债券,1.0310,07-25,4.04%,6.63%,10.51%,--,3,0.07%
782,783,450001,国富中国收益,0.8454,07-25,4.03%,9.04%,17.36%,39.01%,5,0.15%
783,784,110012,易方达科汇灵活配置,1.4740,07-25,4.02%,1.53%,3.34%,18.89%,1,0.15%
784,785,002089,长盛盛鑫混合A,1.0580,07-25,4.00%,--,--,--,0,0.15%
785,786,000452,南方医保,1.5030,07-25,4.00%,8.26%,21.44%,--,0,0.15%
786,787,001390,中融新优势混合C,1.0780,07-25,4.00%,--,--,--,0,0.00%
787,788,165519,信诚中证800医药指数分级,0.8380,07-25,4.00%,8.29%,10.67%,--,0,0.12%
788,789,163302,大摩资源优选混合(LOF),1.3056,07-25,3.99%,7.42%,9.48%,26.44%,2,0.15%
789,790,001196,东方鼎新灵活配置混合A,1.1066,07-25,3.98%,5.51%,--,--,0,0.08%
790,791,040015,华安动态灵活配置,1.4270,07-25,3.97%,9.81%,24.80%,67.19%,4,0.15%
791,792,002274,中邮纯债聚利债券A,1.0440,07-25,3.97%,--,--,--,0,0.08%
792,793,510081,长盛动态精选,1.3457,07-25,3.96%,4.00%,6.19%,27.30%,2,0.15%
793,794,519679,银河主题混合,3.7990,07-25,3.95%,2.08%,11.30%,--,3,0.60%
794,795,001541,汇添富民营新动力股票,0.9480,07-25,3.93%,--,--,--,0,0.15%
795,796,217018,招商安瑞进取债券,1.7480,07-25,3.90%,4.46%,12.37%,37.21%,4,0.08%
796,797,001210,天弘互联网混合,0.6269,07-25,3.90%,0.70%,--,--,0,0.15%
797,798,233006,大摩领先优势混合,1.9964,07-25,3.90%,11.35%,20.62%,52.45%,3,0.15%
798,799,001413,中融新动力混合A,1.0960,07-25,3.90%,6.07%,--,--,0,0.15%
799,800,002362,国富恒瑞债券C,1.1040,07-25,3.90%,--,--,--,0,0.00%
800,801,001201,申万菱信安鑫回报混合A,1.1230,07-25,3.89%,6.50%,--,--,0,0.07%
801,802,519971,长信改革红利混合,1.0780,07-25,3.89%,5.78%,--,--,0,0.15%
802,803,002233,工银丰收回报灵活配置混合C,1.0570,07-25,3.88%,--,--,--,0,0.00%
803,804,620007,金元顺安保本混合A,1.1200,07-25,3.88%,4.88%,6.51%,10.71%,0,0.12%
804,805,002112,德邦鑫星价值灵活配置混合C,1.0761,07-25,3.88%,--,--,--,0,0.00%
805,806,001198,东方惠新灵活配置混合A,1.1224,07-25,3.87%,5.99%,--,--,0,0.08%
806,807,002766,新华双利债券C,1.0530,07-25,3.87%,--,--,--,0,0.00%
807,808,000994,建信睿盈灵活配置混合A,1.0230,07-25,3.83%,4.89%,--,--,0,0.15%
808,809,163111,申万菱信中小板指数,1.0590,07-25,3.83%,1.40%,3.81%,20.62%,0,0.12%
809,810,540007,汇丰晋信中小盘股票,1.2007,07-25,3.83%,8.19%,7.59%,26.90%,2,0.15%
810,811,110009,易方达价值精选混合,1.1096,07-25,3.83%,3.38%,10.52%,31.55%,3,0.15%
811,812,002192,东方鼎新灵活配置混合C,1.1045,07-25,3.82%,--,--,--,0,0.00%
812,813,660015,农银行业轮动混合,2.7445,07-25,3.81%,6.78%,19.92%,--,5,0.15%
813,814,121010,国投瑞银瑞源保本,1.2110,07-25,3.81%,7.31%,12.43%,25.02%,0,0.12%
814,815,002422,新华信用增强C,1.0920,07-25,3.81%,--,--,--,0,0.00%
815,816,001352,民生加银新战略混合,1.0860,07-25,3.80%,7.26%,--,--,0,0.15%
816,817,000029,富国宏观策略,1.4050,07-25,3.79%,5.43%,10.54%,--,3,0.15%
817,818,540004,汇丰晋信2026周期,1.3951,07-25,3.79%,5.57%,7.27%,20.59%,0,0.15%
818,819,000362,国泰聚信价值优势灵活配置A,1.1960,07-25,3.77%,14.32%,32.58%,--,5,0.15%
819,820,470009,汇添富民营活力混合,2.8800,07-25,3.77%,3.29%,16.75%,76.52%,3,0.15%
820,821,001554,天弘中证全指运输A,0.6668,07-25,3.77%,-0.03%,--,--,0,0.10%
821,822,001054,工银新金融股票,1.0040,07-25,3.77%,10.31%,--,--,0,0.15%
822,823,001168,国投瑞银优选收益混合,1.1240,07-25,3.77%,6.64%,--,--,0,0.15%
823,824,002227,长城新优选混合A,1.0760,07-25,3.75%,--,--,--,0,0.15%
824,825,000242,景顺长城策略精选,1.1050,07-25,3.74%,10.08%,17.20%,--,2,0.15%
825,826,000756,建信潜力新蓝筹股票,1.4080,07-25,3.72%,9.86%,--,--,0,0.15%
826,827,240020,华宝医药生物混合,1.5890,07-25,3.69%,2.71%,4.93%,22.55%,4,0.15%
827,828,000993,华宝稳健回报混合,0.9680,07-25,3.69%,4.76%,--,--,0,0.15%
828,829,001202,东方红领先精选混合,1.1260,07-25,3.66%,6.83%,--,--,0,1.50%
829,830,002246,泰康稳健增利债券C,1.0550,07-25,3.65%,--,--,--,0,0.00%
830,831,100026,富国天合稳健优选混合,1.2429,07-25,3.65%,8.10%,19.89%,69.22%,3,0.15%
831,832,002536,中银鑫利混合C,1.0710,07-25,3.65%,--,--,--,0,0.00%
832,833,050019,博时转债增强债券A,1.4090,07-25,3.65%,-0.51%,3.21%,24.28%,2,0.08%
833,834,000597,中海积极收益混合,1.1750,07-25,3.63%,5.81%,8.95%,--,0,0.08%
834,835,350007,天治趋势精选,0.9320,07-25,3.63%,-2.93%,-2.99%,-2.70%,1,0.15%
835,836,001555,天弘中证全指运输C,0.6632,07-25,3.63%,-0.26%,--,--,0,0.00%
836,837,001414,中融新动力混合C,1.0700,07-25,3.63%,5.18%,--,--,0,0.00%
837,838,165313,建信优势动力混合(LOF),1.4400,07-25,3.61%,6.70%,10.21%,--,3,0.15%
838,839,519013,海富通风格优势混合,0.7540,07-25,3.60%,1.73%,-5.84%,-6.87%,1,0.15%
839,840,002535,中银鑫利混合A,1.0710,07-25,3.59%,--,--,--,0,0.10%
840,841,000409,鹏华环保产业股票,1.6300,07-25,3.59%,8.92%,15.38%,--,0,0.15%
841,842,519035,富国天博创新主题混合,1.3573,07-25,3.59%,2.62%,9.11%,36.31%,3,0.15%
842,843,000598,长盛生态环境主题混合,1.4880,07-25,3.57%,3.31%,--,--,0,0.15%
843,844,519918,华夏兴和混合,1.5210,07-25,3.56%,1.31%,5.60%,--,0,0.60%
844,845,200011,长城景气行业龙头,1.2080,07-25,3.56%,-4.93%,-6.86%,4.91%,1,0.15%
